Day, Week, Quantity, Amount, A, B, C, D, E, F, G, H, I, J, L, O,
1, 0,  5, 3150, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0,
2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
3, 0,  1, 3600, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,
4, 0,  2, 2025, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0,
5, 0,  1, 150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,
6, 0,  3, 450, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0,
7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1, 1,  2, 300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2,
2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
3, 1,  11, 1650, 8, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2,
4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
5, 1,  1, 450, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0,
6, 1,  1, 3600, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0,
7, 1,  6, 4350, 0, 1, 1, 0, 3, 0, 0, 0, 0, 0, 0, 1,
1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
4, 2,  5, 4850, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3,
5, 2,  1, 450, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0,
6, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
7, 2,  3, 450, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0,
1, 3,  1, 650, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
3, 3,  6, 4350, 0, 0, 3, 2, 0, 0, 0, 0, 0, 0, 0, 1,
4, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
5, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
6, 3,  1, 750, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0,
7, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
3, 4,  6, 900, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0,
4, 4,  1, 3600, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,
5, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
6, 4,  10, 1500, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1,
7, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
2, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
3, 5,  16, 2400, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0,
4, 5,  8, 1200, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0,
5, 5,  2, 260, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0,
6, 5,  6, 900, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0,
7, 5,  1, 1875, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0,
1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
2, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
3, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
4, 6,  4, 1200, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3,
5, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
7, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
2, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
3, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
4, 7,  2, 260, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0,
5, 7,  2, 4350, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0,
6, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
7, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
2, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
3, 8,  1, 450, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0,
4, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
5, 8,  1, 150, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0,
6, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
7, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1, 9,  26, 3900, 0, 25, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0,
2, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
3, 9,  2, 3750, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0,
4, 9,  1, 450, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0,
5, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
6, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
7, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
2, 10,  7, 6165, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 3,
3, 10,  10, 6225, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0,
4, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
5, 10,  3, 3900, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1,
6, 10,  1, 3600, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0,
7, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
2, 11,  3, 3900, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0,
3, 11,  5, 4200, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 2,
4, 11,  1, 3600, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0,
5, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
6, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
7, 11,  1, 3600, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
2, 12,  3, 3900, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0,
3, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
4, 12,  3, 3275, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0,
5, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
6, 12,  1, 150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,
7, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
2, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
3, 13,  3, 2250, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0,
4, 13,  1, 1875, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0,
5, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
6, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
7, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
2, 14,  3, 750, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0,
3, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
4, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
5, 14,  2, 250, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
6, 14,  3, 7350, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0,
7, 14,  4, 7500, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1,
1, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
2, 15,  4, 2700, 0, 0, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0,
3, 15,  7, 6225, 0, 4, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0,
4, 15,  3, 2250, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0,
5, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
6, 15,  4, 2265, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0,
7, 15,  1, 3600, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
2, 16,  6, 18450, 0, 0, 5, 0, 0, 0, 0, 0, 1, 0, 0, 0,
3, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
4, 16,  10, 1500, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
5, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
6, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
7, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
2, 17,  2, 300, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0,
3, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
4, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
5, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
6, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
7, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
2, 18,  1, 1875, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0,
3, 18,  1, 1875, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0,
4, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
5, 18,  1, 150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,
6, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
7, 18,  1, 3600, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
2, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
3, 19,  1, 450, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0,
4, 19,  1, 1875, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
5, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
6, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
7, 19,  1, 1875, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,
1, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
2, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
3, 20,  3, 5925, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1,
4, 20,  1, 130, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
5, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
6, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
7, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
2, 21,  4, 1160, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3,
3, 21,  6, 6075, 0, 0, 5, 1, 0, 0, 0, 0, 0, 0, 0, 0,
4, 21,  2, 260, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0,
5, 21,  1, 150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,
6, 21,  1, 3600, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0,
7, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
2, 22,  9, 8250, 2, 1, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0,
3, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
4, 22,  1, 1875, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
5, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
6, 22,  1, 3600, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,
7, 22,  3, 450, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
2, 23,  8, 6255, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 6,
3, 23,  1, 3600, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0,
4, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
5, 23,  3, 450, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3,
6, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
7, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1, 24,  3, 10800, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0,
2, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
3, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
4, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
5, 24,  8, 1200, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0,
6, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
7, 24,  3, 450, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
2, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
3, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
4, 25,  6, 3225, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 4,
5, 25,  3, 450, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0,
6, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
